RedFighter,BlueFighter,RedOdds,BlueOdds,Winner,RedStrikingAcc,RedTakedownDef,RedHeight,RedReach,RedStance,BlueStrikingAcc,BlueTakedownDef,BlueHeight,BlueReach,BlueStance
Kelvin Gastelum,Israel Adesanya,150,-170,Blue,42%,59%,"69"" ","71""",Southpaw,48%,76%,"76"" ","80""",Switch
Jon Jones,Anthony Smith,-800,550,Red,58%,95%,"76"" ","84""",Orthodox,49%,50%,"76"" ","76""",Orthodox
Tyron Woodley,Kamaru Usman,-190,165,Blue,48%,87%,"69"" ","74""",Orthodox,52%,89%,"72"" ","76""",Switch
Henry Cejudo,TJ Dillashaw,185,-225,Red,47%,76%,"64"" ","64""",Orthodox,41%,77%,"66"" ","67""",Orthodox
Jon Jones,Alexander Gustafsson,-290,245,Red,58%,95%,"76"" ","84""",Orthodox,40%,83%,"77"" ","79""",Orthodox
Cris Cyborg,Amanda Nunes,-210,175,Blue,52%,94%,"68"" ","68""",Orthodox,51%,82%,"68"" ","69""",Orthodox
Max Holloway,Brian Ortega,-110,-110,Red,47%,83%,"71"" ","69""",Orthodox,37%,55%,"68"" ","69""",Switch
Valentina Shevchenko,Joanna Jedrzejczyk,-300,250,Red,52%,71%,"65"" ","66""",Southpaw,48%,80%,"66"" ","65""",Orthodox
Juan Espino,Justin Frazier,-175,155,Red,70%,50%,"75"" ","80""",Orthodox,66%,0%,"72"" ","75""",Southpaw
Pannie Kianzad,Macy Chiasson,-115,-105,Blue,49%,65%,"67"" ","66""",Orthodox,46%,70%,"71"" ","72""",Orthodox
Daniel Cormier,Derrick Lewis,-380,315,Red,52%,80%,"71"" ","72""",Orthodox,50%,52%,"75"" ","79""",Orthodox
Khabib Nurmagomedov,Conor McGregor,-190,165,Red,48%,84%,"70"" ","70""",Orthodox,49%,66%,"69"" ","74""",Southpaw
Tyron Woodley,Darren Till,-105,-115,Red,48%,87%,"69"" ","74""",Orthodox,46%,69%,"72"" ","74""",Southpaw
TJ Dillashaw,Cody Garbrandt,-125,105,Red,41%,77%,"66"" ","67""",Orthodox,40%,80%,"68"" ","65""",Orthodox
Demetrious Johnson,Henry Cejudo,-470,375,Blue,54%,65%,"63"" ","66""",Orthodox,47%,76%,"64"" ","64""",Orthodox
Stipe Miocic,Daniel Cormier,-160,140,Blue,52%,65%,"76"" ","80""",Orthodox,52%,80%,"71"" ","72""",Orthodox
Michael Trizano,Joe Giannetti,130,-150,Red,53%,72%,"71"" ","71""",Orthodox,38%,0%,"72"" ","74""",Southpaw
Jay Cucciniello,Brad Katona,220,-260,Blue,21%,71%,"67"" ",--,Orthodox,52%,61%,"66"" ","64""",Orthodox
Rafael Dos Anjos,Colby Covington,115,-135,Blue,47%,54%,"68"" ","70""",Southpaw,38%,68%,"71"" ","72""",Orthodox
Amanda Nunes,Raquel Pennington,-700,500,Red,51%,82%,"68"" ","69""",Orthodox,49%,62%,"67"" ","67""",Orthodox
Khabib Nurmagomedov,Al Iaquinta,-640,470,Red,48%,84%,"70"" ","70""",Orthodox,40%,74%,"70"" ","70""",Orthodox
Rose Namajunas,Joanna Jedrzejczyk,-110,-110,Red,42%,61%,"65"" ","65""",Orthodox,48%,80%,"66"" ","65""",Orthodox
Cris Cyborg,Yana Santos,-1000,650,Red,52%,94%,"68"" ","68""",Orthodox,58%,42%,"66"" ","68""",Orthodox
Yoel Romero,Luke Rockhold,160,-185,Red,49%,78%,"72"" ","73""",Southpaw,49%,65%,"75"" ","77""",Southpaw
Stipe Miocic,Francis Ngannou,150,-170,Red,52%,65%,"76"" ","80""",Orthodox,41%,71%,"76"" ","83""",Orthodox
Daniel Cormier,Volkan Oezdemir,-345,285,Red,52%,80%,"71"" ","72""",Orthodox,48%,80%,"74"" ","75""",Orthodox
Cris Cyborg,Holly Holm,-325,265,Red,52%,94%,"68"" ","68""",Orthodox,40%,76%,"68"" ","69""",Southpaw
Max Holloway,Jose Aldo,-260,220,Red,47%,83%,"71"" ","69""",Orthodox,46%,92%,"67"" ","70""",Orthodox
Nicco Montano,Roxanne Modafferi,-210,175,Red,41%,69%,"65"" ","65""",Southpaw,30%,30%,"67"" ","69""",Orthodox
Michael Bisping,Georges St-Pierre,-120,100,Blue,38%,63%,"73"" ","75""",Orthodox,53%,83%,"71"" ","76""",Orthodox
Cody Garbrandt,TJ Dillashaw,-210,175,Blue,40%,80%,"68"" ","65""",Orthodox,41%,77%,"66"" ","67""",Orthodox
Joanna Jedrzejczyk,Rose Namajunas,-700,500,Blue,48%,80%,"66"" ","65""",Orthodox,42%,61%,"65"" ","65""",Orthodox
Tony Ferguson,Kevin Lee,-290,245,Red,45%,66%,"71"" ","76""",Orthodox,42%,75%,"69"" ","77""",Orthodox
Demetrious Johnson,Ray Borg,-1000,650,Red,54%,65%,"63"" ","66""",Orthodox,52%,46%,"64"" ","63""",Orthodox
Amanda Nunes,Valentina Shevchenko,125,-145,Red,51%,82%,"68"" ","69""",Orthodox,52%,71%,"65"" ","66""",Southpaw
Tyron Woodley,Demian Maia,-220,180,Red,48%,87%,"69"" ","74""",Orthodox,43%,61%,"73"" ","72""",Southpaw
Cris Cyborg,Tonya Evinger,-1250,800,Red,52%,94%,"68"" ","68""",Orthodox,42%,33%,"67"" ","70""",Orthodox
Yoel Romero,Robert Whittaker,110,-130,Blue,49%,78%,"72"" ","73""",Southpaw,43%,81%,"72"" ","73""",Orthodox
Dhiego Lima,Jesse Taylor,150,-170,Blue,39%,73%,"74"" ","75""",Orthodox,65%,100%,"72"" ","73""",Orthodox
Jose Aldo,Max Holloway,-145,125,Blue,46%,92%,"67"" ","70""",Orthodox,47%,83%,"71"" ","69""",Orthodox
Stipe Miocic,Junior Dos Santos,-165,145,Red,52%,65%,"76"" ","80""",Orthodox,47%,81%,"76"" ","77""",Orthodox
Joanna Jedrzejczyk,Jessica Andrade,-190,165,Red,48%,80%,"66"" ","65""",Orthodox,50%,72%,"61"" ","62""",Orthodox
Demetrious Johnson,Wilson Reis,-1100,700,Red,54%,65%,"63"" ","66""",Orthodox,29%,47%,"64"" ","65""",Southpaw
Daniel Cormier,Anthony Johnson,120,-140,Red,52%,80%,"71"" ","72""",Orthodox,47%,77%,"74"" ","78""",Orthodox
Tyron Woodley,Stephen Thompson,120,-140,Red,48%,87%,"69"" ","74""",Orthodox,46%,63%,"72"" ","75""",Orthodox
