RedFighter,BlueFighter,RedOdds,BlueOdds,Winner,RedStrikingAcc,RedTakedownDef,RedHeight,RedReach,RedStance,BlueStrikingAcc,BlueTakedownDef,BlueHeight,BlueReach,BlueStance
Chris Weidman,Vitor Belfort,-420,335,Red,45%,72%,"74"" ","78""",Orthodox,46%,53%,"72"" ","74""",Southpaw
Demetrious Johnson,Kyoji Horiguchi,-980,640,Red,54%,65%,"63"" ","66""",Orthodox,45%,55%,"65"" ","66""",Orthodox
Anthony Pettis,Rafael Dos Anjos,-450,400,Blue,47%,60%,"70"" ","72""",Orthodox,47%,54%,"68"" ","70""",Southpaw
Carla Esparza,Joanna Jedrzejczyk,-160,140,Blue,39%,47%,"61"" ","63""",Orthodox,48%,80%,"66"" ","65""",Orthodox
Ronda Rousey,Cat Zingano,-660,540,Red,52%,50%,"67"" ","66""",Orthodox,61%,42%,"66"" ","68""",Southpaw
Jon Jones,Daniel Cormier,-192,177,Red,58%,95%,"76"" ","84""",Orthodox,52%,80%,"71"" ","72""",Orthodox
Carla Esparza,Rose Namajunas,-110,-110,Red,39%,47%,"61"" ","63""",Orthodox,42%,61%,"65"" ","65""",Orthodox
Johny Hendricks,Robbie Lawler,-220,200,Blue,45%,63%,"69"" ","69""",Southpaw,47%,65%,"71"" ","74""",Southpaw
Anthony Pettis,Gilbert Melendez,-315,285,Red,47%,60%,"70"" ","72""",Orthodox,33%,71%,"69"" ","73""",Orthodox
Fabricio Werdum,Mark Hunt,-430,380,Red,52%,31%,"76"" ","77""",Orthodox,43%,64%,"70"" ","72""",Orthodox
Yair Rodriguez,Leonardo Morales,-230,210,Red,46%,58%,"71"" ","71""",Orthodox,47%,62%,"68"" ",--,Southpaw
Luke Rockhold,Jose Quinonez,215,-235,Red,49%,65%,"75"" ","77""",Southpaw,45%,42%,"68"" ","69""",Southpaw
Jose Aldo,Chad Mendes,-200,185,Red,46%,92%,"67"" ","70""",Orthodox,49%,100%,"66"" ","66""",Orthodox
Demetrious Johnson,Chris Cariaso,-1450,1150,Red,54%,65%,"63"" ","66""",Orthodox,43%,57%,"63"" ","64""",Southpaw
TJ Dillashaw,Joe Soto,-1100,900,Red,41%,77%,"66"" ","67""",Orthodox,41%,70%,"66"" ","65""",Orthodox
Ning Guangyou,Jianping Yang,205,-225,Red,41%,62%,"64"" ","64""",Southpaw,26%,33%,"67"" ",--,Orthodox
Corey Anderson,Matt Van Buren,-265,245,Red,46%,83%,"75"" ","79""",Orthodox,45%,50%,"77"" ",--,
Dhiego Lima,Eddie Gordon,-150,140,Blue,39%,73%,"74"" ","75""",Orthodox,32%,63%,"72"" ","76""",Orthodox
Chris Weidman,Lyoto Machida,-185,170,Red,45%,72%,"74"" ","78""",Orthodox,53%,75%,"73"" ","74""",Southpaw
Ronda Rousey,Alexis Davis,-900,700,Red,52%,50%,"67"" ","66""",Orthodox,49%,34%,"66"" ","68""",Orthodox
Demetrious Johnson,Ali Bagautinov,-690,560,Red,54%,65%,"63"" ","66""",Orthodox,42%,65%,"64"" ","65""",Orthodox
Vitor Miranda,Antonio Carlos Junior,185,-200,Blue,45%,50%,"73"" ","77""",Orthodox,42%,53%,"74"" ","79""",Orthodox
Marcio Alexandre Junior,Warlley Alves,185,-200,Blue,45%,66%,"72"" ","75""",Southpaw,48%,62%,"71"" ","72""",Orthodox
Renan Barao,TJ Dillashaw,-910,710,Blue,36%,91%,"66"" ","70""",Orthodox,41%,77%,"66"" ","67""",Orthodox
Jon Jones,Glover Teixeira,-440,390,Red,58%,95%,"76"" ","84""",Orthodox,49%,60%,"74"" ","76""",Orthodox
Sheldon Westcott,Elias Theodorou,175,-190,Blue,40%,14%,"73"" ","71""",Southpaw,42%,59%,"73"" ","75""",Orthodox
Chad Laprise,Olivier Aubin-Mercier,145,-155,Red,42%,78%,"70"" ","71""",Orthodox,51%,70%,"69"" ","70""",Southpaw
Johny Hendricks,Robbie Lawler,-365,328,Red,45%,63%,"69"" ","69""",Southpaw,47%,65%,"71"" ","74""",Southpaw
Sai Wang,Zhang Lipeng,-295,265,Blue,46%,77%,"72"" ",--,Southpaw,48%,69%,"71"" ","71""",Southpaw
Ronda Rousey,Sara McMann,-360,325,Red,52%,50%,"67"" ","66""",Orthodox,46%,50%,"66"" ","66""",Orthodox
Renan Barao,Urijah Faber,-335,305,Red,36%,91%,"66"" ","70""",Orthodox,40%,58%,"66"" ","67""",Orthodox
Jose Aldo,Ricardo Lamas,-750,600,Red,46%,92%,"67"" ","70""",Orthodox,47%,46%,"68"" ","71""",Orthodox
